p2       S_S        Sprime_S     S_V        Sprime_V
  0.0    0.10E+00   -0.34E-01    0.75E-01   -0.57E-05
  2.0    0.65E-01   -0.11E-01    0.45E-01   -0.91E-06
  4.0    0.50E-01   -0.57E-02    0.34E-01   -0.35E-06
  6.0    0.41E-01   -0.36E-02    0.27E-01   -0.19E-06
  8.0    0.35E-01   -0.25E-02    0.23E-01   -0.12E-06
 10.0    0.30E-01   -0.19E-02    0.20E-01   -0.78E-07
 12.0    0.27E-01   -0.14E-02    0.18E-01   -0.57E-07
 14.0    0.25E-01   -0.12E-02    0.16E-01   -0.43E-07
 16.0    0.22E-01   -0.95E-03    0.14E-01   -0.33E-07
 18.0    0.21E-01   -0.80E-03    0.13E-01   -0.27E-07
 20.0    0.19E-01   -0.68E-03    0.12E-01   -0.22E-07
 22.0    0.18E-01   -0.59E-03    0.11E-01   -0.18E-07
 24.0    0.17E-01   -0.51E-03    0.11E-01   -0.16E-07
 26.0    0.16E-01   -0.45E-03    0.10E-01   -0.13E-07
 28.0    0.15E-01   -0.40E-03    0.95E-02   -0.12E-07
 30.0    0.14E-01   -0.36E-03    0.90E-02   -0.10E-07
 32.0    0.14E-01   -0.32E-03    0.85E-02   -0.91E-08
 34.0    0.13E-01   -0.29E-03    0.81E-02   -0.81E-08
 36.0    0.12E-01   -0.27E-03    0.77E-02   -0.72E-08
 38.0    0.12E-01   -0.24E-03    0.74E-02   -0.65E-08
 40.0    0.11E-01   -0.22E-03    0.71E-02   -0.59E-08
 42.0    0.11E-01   -0.21E-03    0.68E-02   -0.54E-08
 44.0    0.11E-01   -0.19E-03    0.66E-02   -0.49E-08
 46.0    0.10E-01   -0.18E-03    0.63E-02   -0.45E-08
 48.0    0.99E-02   -0.16E-03    0.61E-02   -0.41E-08
 50.0    0.96E-02   -0.15E-03    0.59E-02   -0.38E-08
 52.0    0.93E-02   -0.14E-03    0.57E-02   -0.35E-08
 54.0    0.90E-02   -0.13E-03    0.55E-02   -0.33E-08
 56.0    0.88E-02   -0.13E-03    0.54E-02   -0.31E-08
 58.0    0.85E-02   -0.12E-03    0.52E-02   -0.29E-08
 60.0    0.83E-02   -0.11E-03    0.51E-02   -0.27E-08
 62.0    0.81E-02   -0.11E-03    0.49E-02   -0.25E-08
 64.0    0.79E-02   -0.10E-03    0.48E-02   -0.24E-08
 66.0    0.77E-02   -0.96E-04    0.47E-02   -0.22E-08
 68.0    0.75E-02   -0.91E-04    0.46E-02   -0.21E-08
 70.0    0.73E-02   -0.86E-04    0.45E-02   -0.20E-08
 72.0    0.71E-02   -0.82E-04    0.43E-02   -0.19E-08
 74.0    0.70E-02   -0.78E-04    0.42E-02   -0.18E-08
 76.0    0.68E-02   -0.75E-04    0.42E-02   -0.17E-08
 78.0    0.67E-02   -0.71E-04    0.41E-02   -0.16E-08
 80.0    0.65E-02   -0.68E-04    0.40E-02   -0.15E-08
 82.0    0.64E-02   -0.65E-04    0.39E-02   -0.14E-08
 84.0    0.63E-02   -0.63E-04    0.38E-02   -0.14E-08
 86.0    0.61E-02   -0.60E-04    0.37E-02   -0.13E-08
 88.0    0.60E-02   -0.58E-04    0.37E-02   -0.13E-08
 90.0    0.59E-02   -0.55E-04    0.36E-02   -0.12E-08
 92.0    0.58E-02   -0.53E-04    0.35E-02   -0.12E-08
 94.0    0.57E-02   -0.51E-04    0.35E-02   -0.11E-08
 96.0    0.56E-02   -0.50E-04    0.34E-02   -0.11E-08
 98.0    0.55E-02   -0.48E-04    0.33E-02   -0.10E-08
100.0    0.54E-02   -0.46E-04    0.33E-02   -0.98E-09
102.0    0.53E-02   -0.44E-04    0.32E-02   -0.94E-09
104.0    0.52E-02   -0.43E-04    0.32E-02   -0.91E-09
106.0    0.51E-02   -0.41E-04    0.31E-02   -0.87E-09
108.0    0.51E-02   -0.40E-04    0.31E-02   -0.84E-09
110.0    0.50E-02   -0.39E-04    0.30E-02   -0.81E-09
112.0    0.49E-02   -0.38E-04    0.30E-02   -0.78E-09
114.0    0.48E-02   -0.36E-04    0.29E-02   -0.76E-09
116.0    0.48E-02   -0.35E-04    0.29E-02   -0.73E-09
118.0    0.47E-02   -0.34E-04    0.28E-02   -0.71E-09
120.0    0.46E-02   -0.33E-04    0.28E-02   -0.68E-09
122.0    0.46E-02   -0.32E-04    0.27E-02   -0.66E-09
124.0    0.45E-02   -0.31E-04    0.27E-02   -0.64E-09
126.0    0.44E-02   -0.30E-04    0.27E-02   -0.62E-09
128.0    0.44E-02   -0.30E-04    0.26E-02   -0.60E-09
130.0    0.43E-02   -0.29E-04    0.26E-02   -0.58E-09
132.0    0.43E-02   -0.28E-04    0.26E-02   -0.57E-09
134.0    0.42E-02   -0.27E-04    0.25E-02   -0.55E-09
136.0    0.41E-02   -0.27E-04    0.25E-02   -0.53E-09
138.0    0.41E-02   -0.26E-04    0.25E-02   -0.52E-09
140.0    0.40E-02   -0.25E-04    0.24E-02   -0.50E-09
142.0    0.40E-02   -0.25E-04    0.24E-02   -0.49E-09
144.0    0.39E-02   -0.24E-04    0.24E-02   -0.48E-09
146.0    0.39E-02   -0.23E-04    0.23E-02   -0.46E-09
148.0    0.39E-02   -0.23E-04    0.23E-02   -0.45E-09
150.0    0.38E-02   -0.22E-04    0.23E-02   -0.44E-09
152.0    0.38E-02   -0.22E-04    0.23E-02   -0.43E-09
154.0    0.37E-02   -0.21E-04    0.22E-02   -0.42E-09
156.0    0.37E-02   -0.21E-04    0.22E-02   -0.41E-09
158.0    0.36E-02   -0.20E-04    0.22E-02   -0.40E-09
160.0    0.36E-02   -0.20E-04    0.22E-02   -0.39E-09
162.0    0.36E-02   -0.19E-04    0.21E-02   -0.38E-09
164.0    0.35E-02   -0.19E-04    0.21E-02   -0.37E-09
166.0    0.35E-02   -0.18E-04    0.21E-02   -0.36E-09
168.0    0.34E-02   -0.18E-04    0.21E-02   -0.35E-09
170.0    0.34E-02   -0.18E-04    0.20E-02   -0.34E-09
172.0    0.34E-02   -0.17E-04    0.20E-02   -0.33E-09
174.0    0.33E-02   -0.17E-04    0.20E-02   -0.33E-09
176.0    0.33E-02   -0.17E-04    0.20E-02   -0.32E-09
178.0    0.33E-02   -0.16E-04    0.20E-02   -0.31E-09
180.0    0.32E-02   -0.16E-04    0.19E-02   -0.31E-09
182.0    0.32E-02   -0.16E-04    0.19E-02   -0.30E-09
184.0    0.32E-02   -0.15E-04    0.19E-02   -0.29E-09
186.0    0.32E-02   -0.15E-04    0.19E-02   -0.29E-09
188.0    0.31E-02   -0.15E-04    0.19E-02   -0.28E-09
190.0    0.31E-02   -0.14E-04    0.18E-02   -0.27E-09
192.0    0.31E-02   -0.14E-04    0.18E-02   -0.27E-09
194.0    0.30E-02   -0.14E-04    0.18E-02   -0.26E-09
196.0    0.30E-02   -0.14E-04    0.18E-02   -0.26E-09
198.0    0.30E-02   -0.13E-04    0.18E-02   -0.25E-09
200.0    0.30E-02   -0.13E-04    0.18E-02   -0.25E-09
202.0    0.29E-02   -0.13E-04    0.17E-02   -0.24E-09
204.0    0.29E-02   -0.13E-04    0.17E-02   -0.24E-09
206.0    0.29E-02   -0.12E-04    0.17E-02   -0.23E-09
208.0    0.29E-02   -0.12E-04    0.17E-02   -0.23E-09
210.0    0.28E-02   -0.12E-04    0.17E-02   -0.23E-09
212.0    0.28E-02   -0.12E-04    0.17E-02   -0.22E-09
214.0    0.28E-02   -0.12E-04    0.17E-02   -0.22E-09
216.0    0.28E-02   -0.11E-04    0.16E-02   -0.21E-09
218.0    0.27E-02   -0.11E-04    0.16E-02   -0.21E-09
